1,1,1,
,2,2.6,
,3,3.7,
,4,5.6,
,5,6.4,
,6,8,
,7,9.9,
,8,,
2,1,2.7,
,3,3.7,
,4,4.9,
,5,6.1,
,6,7.8,
,7,9.8,
,8,,
3,1,1.2,
,2,2.9,
,3,3.9,
,4,5.3,
,5,6.3,
,6,8.1,
,7,10.2,
,8,,
4,1,1,
,2,2.9,
,3,3.6,
,4,5.4,
,5,6.2,
,6,7.7,
,7,9.6,
,8,12.2,
5,1,1.3,
,2,2.4,
,3,3.9,
,4,5.3,
,5,6.1,
,6,8.1,
,7,9.8,
,8,,
6,1,1,
,2,2.6,
,3,3.8,
,4,5.3,
,5,6.2,
,6,8.5,
,7,10,
,8,,
7,1,1.3,
,2,2.5,
,3,3.9,
,4,5.1,
,5,6,
,6,9.8,
,7,11.7,
,8,,
8,1,1.3,
,2,2.6,
,3,3.8,
,4,5.1,
,5,5.9,
,6,8.2,
,7,11,
,8,,
9,1,1.4,
,2,2.5,
,3,4,
,4,5.4,
,5,6.4,
,6,10.1,
,7,12.4,
,8,,
10,1,1.3,
,2,2.4,
,3,3.9,
,4,5.3,
,5,6,
,6,9.7,
,7,11.7,
,8,,
11,1,1.3,
,2,2.8,
,3,3.7,
,4,5,
,5,6.1,
,6,8.3,
,7,10.9,
,8,,
12,1,1.2,
,2,2.6,
,3,3.9,
,4,5.2,
,5,6.3,
,6,8.4,
,7,11.7,
,8,,
13,1,1.4,
,2,2.7,
,3,4.2,
,4,6,
,5,7,
,6,10.2,
,7,12.4,
,8,,
14,1,1.3,
,2,2.6,
,3,4,
,4,5.8,
,5,6.4,
,6,8.9,
,7,12.5,
,8,,
15,1,1.3,
,2,2.8,
,3,3.9,
,4,6,
,5,6.9,
,6,11.5,
16,1,1.1,
,2,2.4,
,3,3.7,
,4,5.3,
,5,5.9,
,6,9.5,
,7,12,
,8,,
17,1,.7,
,2,1.9,
,2-1,3,
,3,4.2,
,4,6.3,
,5,7.1,
,6,12.3,
,7,13.5,
,8,,
18,1,1.3,
,2,2.8,
,3,4,
,4,5.6,
,5,6.4,
,6,10,
,7,12.8,
,8,,
19,1,1.5,
,2,2.8,
,3,4.2,
,4,5.6,
,5,6.6,
,6,12.5,
,7,13.5,
,8,,
20,1,1.6,
,2,3.2,
,3,4.3,
,4,5.9,
,5,6.6,
,6,12.5,
,7,13.6,
,8,,
21,1,1.6,
,2,3.2,
,3,4.3,
,4,5.9,
,5,6.6,
,6,12.5,
,7,13.6,
,8,,
22,1,1.6,
,2,3.2,
,3,4.3,
,4,5.9,
,5,6.6,
,6,12.5,
,7,13.6,
,8,,
END,END,END,END
