1-1,1,40,2.74,1.85
25,.21,,
50,.404,1.455,
100,.66,1.487,1.47
200,1.029,1.55,1.545
400,1.614,,1.625
800,2.71,,
1600,3.737,,
3200,4.77,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1-2,1,27.5,2.74,1.91
25,0.0194,,
50,0.308,,
100,0.494,,
200,0.97,,
400,2.057,,
800,3.046,,
1600,3.945,,
3200,4.416,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
65-29,1,40,2.75,1.86
25,.23,,
50,.49,,
100,.89,1.81,
200,1.447,2.065,1.997
400,2.13,,2.232
800,3.022,,
1600,3.932,,
3200,4.91,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
4-1,1,33.3,2.76,2.01
25,0.25,,
50,0.52,,
100,0.55,,
200,0.56,,
400,0.58,,
800,0.65,,
1600,0.72,,
3200,0.78,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
