1,6,6.50
9.00,,1.00,1.60
7.20,8.79,不液化,
,,,
1,7,8.40
25.00,,1.00,1.90
8.95,9.93,不液化,
,,,
2,5,5.10
12.00,5,1.00,1.20
5.50,6.16,不液化,
,,,
2,6,6.90
26.00,,1.00,1.70
6.95,9.03,不液化,
,,,
2,7,9.20
16.00,,1.00,2.00
8.80,10.41,不液化,
,,,
3,5,5.70
5.00,,1.00,1.00
5.80,8.31,液　化,3.66
3.66,,,
3,7,8.30
16.00,8,1.00,2.10
9.15,6.04,不液化,
3.66,,,
4,5,5.70
9.00,,1.00,0.80
5.80,8.31,不液化,
,,,
4,6,7.10
24.00,,1.00,1.50
6.95,9.15,不液化,
,,,
4,7,8.80
27.00,,1.00,1.90
8.65,10.17,不液化,
,,,
5,5,5.80
13.00,,1.00,0.80
5.70,8.37,不液化,
,,,
5,6,7.60
21.00,,1.00,2.00
7.10,9.45,不液化,
,,,
5,7,9.10
10.00,,1.00,1.70
8.95,10.35,液　化,0.35
0.35,,,
6,5,5.70
7.00,,1.00,0.90
5.75,8.31,液　化,1.31
1.31,,,
6,6,8.30
20.00,,1.00,2.30
7.35,9.87,不液化,
1.31,,,
6,7,9.40
20.00,,1.00,1.50
9.25,10.53,不液化,
1.31,,,
7,5,5.70
7.50,,1.00,0.90
5.55,8.31,液　化,0.83
0.83,,,
7,6,7.80
10.00,,1.00,3.80
7.90,9.57,不液化,
0.83,,,
7,7,10.10
21.00,,1.00,1.90
10.75,10.95,不液化,
0.83,,,
8,6,6.60
15.00,,1.00,2.30
7.05,8.85,不液化,
,,,
8,7,8.50
24.00,,1.00,1.35
8.88,9.99,不液化,
,,,
8,7,10.30
11.00,,1.00,1.45
10.28,11.07,液　化,0.04
0.04,,,
9,6,6.30
17.00,,1.00,1.70
7.25,8.67,不液化,
,,,
9,6,9.60
11.50,,1.00,2.00
9.10,10.65,不液化,
,,,
9,7,11.60
16.00,,1.00,2.30
11.25,11.85,不液化,
,,,
10,6,6.40
22.00,,1.00,3.70
7.85,8.73,不液化,
,,,
10,7,9.90
12.00,,1.00,1.00
10.20,10.83,不液化,
,,,
10,7,11.20
13.00,,1.00,1.00
11.20,11.61,不液化,
,,,
11,5,5.30
9.50,,1.00,1.10
5.55,8.07,不液化,
,,,
11,6,6.40
12.00,,1.00,2.20
7.20,8.73,不液化,
,,,
11,7,8.20
19.00,,1.00,1.00
8.80,9.81,不液化,
,,,
11,7,10.10
14.00,,1.00,1.60
10.10,10.95,不液化,
,,,
12,6,6.80
29.00,,1.00,2.10
7.35,8.97,不液化,
,,,
12,7,8.60
13.00,,1.00,1.35
9.08,10.05,不液化,
,,,
12,7,10.60
26.00,,1.00,1.95
10.73,11.25,不液化,
,,,
13,6,7.30
23.00,,1.00,3.20
8.60,9.27,不液化,
,,,
13,7,10.60
45.00,,1.00,1.30
10.85,11.25,不液化,
,,,
13,7,12.10
16.00,,1.00,0.90
11.95,12.15,不液化,
,,,
14,5,6.00
10.00,,1.00,0.60
6.10,8.49,不液化,
,,,
14,7,8.90
11.00,,1.00,1.10
9.45,10.23,不液化,
,,,
14,7,10.80
30.00,,1.00,2.50
11.25,11.37,不液化,
,,,
15,6,7.10
20.00,,1.00,1.20
7.50,9.15,不液化,
,,,
15,6,8.80
16.00,,1.00,1.80
9.00,10.17,不液化,
,,,
15,6,10.70
13.00,,1.00,1.60
10.70,11.31,不液化,
,,,
16,6,6.50
29.00,,1.00,3.60
7.70,8.79,不液化,
,,,
16,7,10.30
14.00,,1.00,2.50
10.75,11.07,不液化,
,,,
17,6,7.70
19.00,,1.00,1.50
7.85,9.51,不液化,
,,,
17,6,9.20
17.00,,1.00,3.70
10.45,10.41,不液化,
,,,
17,7,13.20
40.00,,1.00,1.20
12.90,12.81,不液化,
,,,
18,5,6.10
7.50,,1.00,0.80
6.00,8.55,液　化,0.88
0.88,,,
18,6,7.60
23.00,,1.00,2.20
7.50,9.45,不液化,
0.88,,,
18,6,9.30
29.00,,1.00,1.40
9.30,10.47,不液化,
0.88,,,
18,7,11.10
20.00,,1.00,2.80
11.40,11.55,不液化,
0.88,,,
19,5,5.70
10.00,,1.00,1.00
6.10,8.31,不液化,
,,,
19,6,6.90
19.00,,1.00,1.63
7.41,9.03,不液化,
,,,
19,6,9.25
13.00,,1.00,1.68
9.06,10.44,不液化,
,,,
19,6,10.25
24.00,,1.00,1.03
10.41,11.04,不液化,
,,,
19,6,11.30
18.00,,1.00,1.58
11.71,11.67,不液化,
,,,
19,7,12.60
22.00,,1.00,1.00
13.00,12.45,不液化,
,,,
20,6,6.80
15.00,,1.00,2.00
7.60,8.97,不液化,
,,,
20,6,10.10
32.00,,1.00,3.90
10.55,10.95,不液化,
,,,
