1-8, 1.59 , 22.061 , 1.59 , 22.061 
4-3, 1.613 , 22.62 , 1.613 , 22.62 
3-11, 1.608 , 21.316 , 1.608 , 21.316 
10#-1, 1.602 , 21.689 , 1.602 , 21.689 
10-10, 1.793 , 15.969 , 1.793 , 15.969 
10-10#, 1.787 , 16.035 , 1.787 , 16.035 
1-12, 1.816 , 15.786 , 1.816 , 15.786 
4-6, 1.718 , 19.733 , 1.718 , 19.733 
2-1, 1.688 , 19.69 , 1.688 , 19.69 
8-1, 1.646 , 21.236 , 1.646 , 21.236 
1-12#, 1.775 , 15.907 , 1.775 , 15.907 
1-8, 1.841 , 14.771 , 1.841 , 14.771 
7-1, 1.723 , 20.448 , 1.723 , 20.448 
1-8#, 1.821 , 15.285 , 1.821 , 15.285 
7-9, 1.82 , 15.891 , 1.82 , 15.891 
7-11, 1.827 , 15.41 , 1.827 , 15.41 
3-1, 1.607 , 22.376 , 1.607 , 22.376 
10-8, 1.818 , 16.726 , 1.818 , 16.726 
9-7, 1.653 , 22.654 , 1.653 , 22.654 
8-11, 1.749 , 18.663 , 1.749 , 18.663 
8-7, 1.821 , 15.202 , 1.821 , 15.202 
8-9, 1.829 , 15.23 , 1.829 , 15.23 
8-13, 1.81 , 15.472 , 1.81 , 15.472 
10-10, 1.804 , 15.365 , 1.804 , 15.365 
10-4, 1.79 , 17.797 , 1.79 , 17.797 
10-6, 1.774 , 17.835 , 1.774 , 17.835 
2-3, 1.788 , 17.685 , 1.788 , 17.685 
2-5, 1.782 , 17.559 , 1.782 , 17.559 
9-3, 1.802 , 15.371 , 1.802 , 15.371 
3-3, 1.908 , 13.712 , 1.95 , 12.7 
3-1-1, 1.477 , 28.803 , 1.477 , 28.803 
5-5, 1.891 , 12.592 , 1.91 , 12.16 
4-3, 1.886 , 15.074 , 1.94 , 13.73 
7-3, 1.768 , 17.835 , 1.768 , 17.835 
7-5, 1.803 , 15.267 , 1.803 , 15.267 
7-7, 1.773 , 18.308 , 1.773 , 18.308 
3-3, 1.85 , 15.801 , 1.9 , 14.46 
3-3, 1.85 , 15.801 , 1.9 , 14.46 
7-5, 1.801 , 15.685 , 1.801 , 15.685 
7-7, 1.794 , 16.005 , 1.794 , 16.005 
3-3, 1.896 , 13.451 , 1.95 , 12.33 
3-6, 1.879 , 13.863 , 1.92 , 12.87 
4-4, 1.899 , 13.551 , 1.95 , 12.46 
4-4#, 1.886 , 13.574 , 1.94 , 12.31 
5-3, 1.886 , 13.809 , 1.91 , 13.26 
5-4, 1.885 , 13.854 , 1.91 , 13.34 
5-6, 1.893 , 13.939 , 1.93 , 13.22 
6-3, 1.813 , 15.32 , 1.813 , 15.32 
5-7, 1.84 , 15.039 , 1.84 , 15.039 
4-7, 1.833 , 15.206 , 1.833 , 15.206 
6-9, 1.809 , 15.152 , 1.809 , 15.152 
6-5, 1.8 , 15.408 , 1.8 , 15.408 
3#, 1.586 , 18.673 , 1.586 , 18.673 
9#, 1.588 , 18.846 , 1.588 , 18.846 
10#-2, 1.612 , 19.614 , 1.612 , 19.614 
10#-1, 1.617 , 19.204 , 1.617 , 19.204 
1#, 1.595 , 18.508 , 1.595 , 18.508 
7#, 1.598 , 18.168 , 1.598 , 18.168 
