217-2,36.5,30,2.69,30,6.5,,,,19.2,16,19.2,14,19.2,11,19.2,9,19.2,6.,19.2,5,19.2,3.5,19,2
217-21,161.4,30,2.69,30,50.4,15,66,,19.2,17,19.2,15,19.2,12.2,19.2,11,19.2,7.6,19.2,6.2,19.2,4.2,19,2
217-9,120.5,16,2.68,16,104.5,,,,19.2,8,19.2,6.5,19.2,5.2,19.2,4.5,19.2,3,19.2,2,19.2,1.5,19.2,1
217-8,90.9,24.2,2.68,24.2,66.7,,,,19.2,12,19.2,8.5,19.2,7,19.2,5.8,19.2,4,19.2,3,19.2,2.1,19,1.3
214-10,50,32,2.69,32,18,,,,19.2,18,19.2,17,19.2,15,19.2,12.5,19.2,10,19.2,8.5,19.2,6,19,3.2
206-8,50,41,2.69,41,9,,,,19.2,18,19.2,16,19.2,12,19.2,9.5,19.2,7,19.2,6,19.2,4.1,19,2.5
214-7,50,44,2.68,44,6,,,,19.2,16.5,19.2,16,19.2,11,19.2,8.8,19.2,6.3,19.2,5.2,19.2,4,19,2.3
214-3,50,40.3,2.69,40.3,9.7,,,,19.2,19,19.2,15,19.2,10.5,19.2,8.5,19.2,6.6,19.2,5.8,19.2,4.2,19,2.5
206-9,50,45.5,2.69,45.5,4.5,,,,19.2,25.2,19.2,23,19.2,19,19.2,15.4,19.2,11.6,19.2,9.6,19.2,7,19,3.8
224-8,50,34.8,2.69,34.8,15.2,,,,19.2,19,19.2,17,19.2,14.5,19.2,13.1,19.2,9.5,19.2,7.9,19.2,5.5,19,3
end, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 

