259-1,0.80,0.01,1.05,5-11,0.38,4.78,0.82
0,0,0
25,2.8,2.9
50,7.00,7.10
75,7.90,7.95
100,8.65,8.70
150,10.00,10.10
200,12.10,12.30
250,16.10,17.30
300,26.20,28.70
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
259-2,1.25,0,1.05,5-11,0.38,4.78,0.82
0,0.75,0.80
25,4.70,5.70
50,6.75,6.80
75,7.15,7.20
100,7.45,7.50
150,8.20,8.25
200,9.20,9.25
250,10.80,11.10
300,13.90,14.50
400,28.50,33.20
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
259-3,1.90,0,1.05,5-11,0.38,4.78,0.82
0,1.75,2.00
25,5.00,5.10
50,5.55,5.60
75,5.80,5.85
100,6.05,6.10
125,6.30,6.35
150,6.50,6.55
200,7.00,7.05
300,8.60,8.70
350,10.30,10.40
400,13.10,13.70
500,24.70,28.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
259-4,2.70,0,1.05,5-11,0.38,4.78,0.82
0,2.60,2.90
25,5.30,5.50
50,6.15,6.20
100,7.05,7.10
150,7.85,7.90
200,8.65,8.70
250,9.65,9.70
300,11.15,11.50
350,13.60,14.20
400,17.30,18.20
500,27.80,31.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
259-5,3.55,0,1.05,5-11,0.38,4.78,0.82
0,5.10,5.45
25,6.20,6.30
50,6.60,6.70
75,7.15,7.20
100,7.55,7.60
150,8.30,8.40
200,9.15,9.20
250,10.50,10.75
300,13.60,14.20
350,18.60,20.20
400,26.20,29.30
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
259-6,4.30,0,1.05,5-11,0.38,4.78,0.82
0,6.70,7.15
25,7.75,7.80
50,8.05,8.10
75,8.40,8.45
100,8.60,8.65
150,9.05,9.10
200,9.40,9.45
250,9.85,9.90
300,10.25,10.30
350,10.80,10.85
400,11.40,11.45
450,12.65,12.90
500,14.70,15.30
600,21.50,23.50
650,29.70,31.40
700,37.50,39.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
260-1,0.70,0,1.05,5-11,0.38,4.78,0.82
0,0.20,0.25
25,3.40,3.50
50,6.80,6.90
75,7.60,7.70
100,8.35,8.45
150,10.50,10.55
200,12.60,13.10
250,19.20,22.90
300,31.00,37.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
260-2,1.55,0,1.05,5-11,0.38,4.78,0.82
0,1.25,1.55
25,5.55,5.60
50,5.80,5.85
75,6.05,6.10
100,6.20,6.25
150,6.65,6.70
200,7.30,7.35
250,8.10,8.25
300,9.60,9.75
350,13.05,13.65
400,20.00,23.00
450,34.50,40.00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
160-3,2.35,0,1.10,5-11,0.38,4.78,0.82
0,2.75,3.15
25,5.40,5.45
50,5.60,5.65
75,6.00,6.05
100,6.25,6.35
125,6.60,6.65
150,6.80,6.90
175,7.10,7.15
200,7.35,7.45
250,7.80,7.90
300,8.70,8.80
350,9.70,9.90
400,11.30,11.75
500,16.65,17.70
600,25.80,28.00
650,37.00,39.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
260-4,3.40,0,1.10,5-11,0.38,4.78,0.82
0,4.80,5.75
25,6.70,6.80
50,7.45,7.55
75,8.20,8.25
100,8.85,8.90
125,9.50,9.60
150,10.15,10.20
175,10.95,11.05
200,11.80,12.00
225,13.20,13.50
250,15.10,15.60
300,20.90,23.00
350,33.50,38.50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
260-5,4.10,0,1.10,5-11,0.38,4.78,0.82
0,6.20,9.15
25,13.00,13.10
50,14.00,14.15
75,14.75,14.85
100,15.35,15.50
125,16.20,16.30
150,16.70,16.80
175,17.30,17.40
200,17.85,17.95
250,19.35,19.45
300,20.50,20.75
350,23.30,24.00
400,27.70,29.10
450,36.00,39.10
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
