1,3,3.10
42.00,,0.00,3.10
0.00,42.00,11.20,不液化
,,,
2,3,3.50
10.00,,5.60,3.50
5.60,10.00,6.72,不液化
,,,
3,2,1.80
9.00,,5.70,1.80
5.70,9.00,6.64,不液化
,,,
4,2,1.80
16.00,,5.70,1.80
5.70,16.00,6.64,不液化
,,,
5,2,2.00
8.50,,5.50,2.00
5.50,8.50,6.80,不液化
,,,
6,2,1.90
9.00,,5.60,1.90
5.60,9.00,6.72,不液化
,,,
7,2,1.80
7.50,,5.60,1.80
5.60,7.50,6.72,不液化
,,,
8,3,2.50
8.00,,5.60,2.50
5.60,8.00,6.72,不液化
,,,
9,2,2.00
6.00,,5.70,2.00
5.70,6.00,6.64,液　化
,,,
10,2,2.05
7.00,,5.60,2.05
5.60,7.00,6.72,不液化
,,,
11,2,2.60
9.00,,5.60,2.60
5.60,9.00,6.72,不液化
,,,
12,2,2.20
11.50,,5.65,2.20
5.65,11.50,6.68,不液化
,,,
13,2,2.00
6.00,,5.65,2.00
5.65,6.00,6.68,液　化
,,,
13,3,3.40
7.00,,5.65,3.40
5.65,7.00,6.68,不液化
,,,
14,2,2.00
9.00,,5.70,2.00
5.70,9.00,6.64,不液化
,,,
14,3,3.70
8.00,,5.70,3.70
5.70,8.00,6.64,不液化
,,,
15,2,1.60
10.00,,5.70,1.60
5.70,10.00,6.64,不液化
,,,
15,3,3.50
7.00,,5.70,3.50
5.70,7.00,6.64,不液化
,,,
16,3,2.60
8.50,,5.25,2.60
5.25,8.50,7.00,不液化
,,,
17,2,1.65
16.50,,5.70,1.65
5.70,16.50,6.64,不液化
,,,
17,3,3.50
9.00,,5.70,3.50
5.70,9.00,6.64,不液化
,,,
18,2,1.90
12.00,,5.70,1.90
5.70,12.00,6.64,不液化
,,,
19,2,1.75
11.00,,5.70,1.75
5.70,11.00,6.64,不液化
,,,
19,3,3.70
10.00,,5.70,3.70
5.70,10.00,6.64,不液化
,,,
20,2,2.10
9.00,,5.95,2.10
5.95,9.00,6.44,不液化
,,,
20,3,4.00
10.00,,5.95,4.00
5.95,10.00,6.44,不液化
,,,
