0,,,,,,,,,
50,0.63,2.2,13.4,,113.4,100.0,1.13,6.7,106.7
100,1.25,7.0,42.3,,142.3,100.0,1.42,21.2,121.2
150,1.88,9.5,57.1,,157.1,100.0,1.57,28.5,128.5
200,2.50,11.0,65.7,,165.7,100.0,1.66,32.8,132.8
250,3.13,12.0,71.2,,171.2,100.0,1.71,35.6,135.6
300,3.75,12.8,75.5,,175.5,100.0,1.75,37.7,137.7
350,4.38,13.0,76.1,,176.1,100.0,1.76,38.1,138.1
400,5.00,13.3,77.4,,177.4,100.0,1.77,38.7,138.7
450,5.63,13.8,79.8,,179.8,100.0,1.80,39.9,139.9
500,6.25,14.7,84.4,,184.4,100.0,1.84,42.2,142.2
550,6.88,14.7,83.8,,183.8,100.0,1.84,41.9,141.9
600,7.50,14.7,83.3,,183.3,100.0,1.83,41.6,141.6
650,8.13,14.4,81.0,,181.0,100.0,1.81,40.5,140.5
700,8.75,14.0,78.2,,178.2,100.0,1.78,39.1,139.1
750,9.38,14.0,77.7,,177.7,100.0,1.78,38.9,138.9
800,10.00,14.0,77.2,,177.2,100.0,1.77,38.6,138.6
850,10.63,13.8,75.5,,175.5,100.0,1.76,37.8,137.8
900,,,,,,,,,
950,,,,,,,,,
1000,,,,,,,,,
1050,,,,,,,,,
1100,,,,,,,,,
1150,,,,,,,,,
1200,,,,,,,,,
0,,,,,,,,,
50,0.63,0.1,0.6,,200.6,200.0,1.00,0.3,200.3
100,1.25,1.8,10.9,,210.9,200.0,1.05,5.4,205.4
150,1.88,3.2,19.2,,219.2,200.0,1.10,9.6,209.6
200,2.50,14.7,87.8,,287.8,200.0,1.44,43.9,243.9
250,3.13,17.2,102.1,,302.1,200.0,1.51,51.0,251.0
300,3.75,19.0,112.0,,312.0,200.0,1.56,56.0,256.0
350,4.38,20.4,119.5,,319.5,200.0,1.60,59.7,259.7
400,5.00,21.2,123.4,,323.4,200.0,1.62,61.7,261.7
450,5.63,21.7,125.4,,325.4,200.0,1.63,62.7,262.7
500,6.25,22.4,128.6,,328.6,200.0,1.64,64.3,264.3
550,6.88,22.7,129.5,,329.5,200.0,1.65,64.7,264.7
600,7.50,23.0,130.3,,330.3,200.0,1.65,65.2,265.2
650,8.13,23.5,132.2,,332.2,200.0,1.66,66.1,266.1
700,8.75,23.6,131.9,,331.9,200.0,1.66,66.0,266.0
750,9.38,23.6,131.0,,331.0,200.0,1.65,65.5,265.5
800,10.00,23.7,130.6,,330.6,200.0,1.65,65.3,265.3
