1-1,不固结不排水剪UU,12.5,12.2,,,1.74,,
100,166,,3.91,8,7.35
50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,7,9.5,11,12,12.8,13,13.3,13.8,14.7,14.7,14.7,14.4,14,14,14,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.38,42.31,57.06,65.65,71.16,75.41,76.10,77.34,79.72,84.36,83.80,83.23,80.98,78.20,77.66,77.13,75.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.38,142.31,157.06,165.65,171.16,175.41,176.10,177.34,179.72,184.36,183.80,183.23,180.98,178.20,177.66,177.13,175.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13,1.42,1.57,1.66,1.71,1.75,1.76,1.77,1.80,1.84,1.84,1.83,1.81,1.78,1.78,1.77,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.69,21.16,28.53,32.83,35.58,37.71,38.05,38.67,39.86,42.18,41.90,41.62,40.49,39.10,38.83,38.56,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.69,121.16,128.53,132.83,135.58,137.71,138.05,138.67,139.86,142.18,141.90,141.62,140.49,139.10,138.83,138.56,137.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
0.63,1.25,1.88,2.50,3.13,3.75,4.38,5.00,5.63,6.25,6.88,7.50,8.13,8.75,9.38,10.00,10.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
