1,1-1,.6,2.0,3.0,4.0,5.0,6.0,7.0,22.9,2.74,20.1,38.1,19.4,,1,76.3,13.4,1,.1,16.95,1
2,1-2,3.6,,,,,,,20.8,2.72,19.3,33,19,,1,49,20,1,.14,11.49,
3,1-3,4.6,,,,,,,21.1,2.71,20.1,30.9,17.6,,4,60,9.3,,,,135
4,1-4,5.6,,,,,,,22.6,2.7,19.7,29.5,18.3,,1,31.8,23,1,.12,13.5,
5,1-5,8,,,,,,,19.9,2.73,20.6,37.4,21.4,,,,,1,.1,15.2,
6,1-6,9.3,,,,,,,21.3,2.73,20.2,34.8,18.2,,1,66.3,20.6,1,.13,12.5,
7,2-1,3.1,,,,,,,23.7,2.73,19.9,35.9,18.9,,4,95,7.6,,,,145
8,2-2,4.3,,,,,,,21.7,2.72,19.7,31.8,17.3,,1,42.1,16.1,1,.21,7.9,
9,2-3R,5.9,26.9,57.1,9.9,4.4,1.7,,,,,,,,,,,,,,
11,2-4,8.9,,,,,,,19,2.72,20.6,31.4,17.8,,1,57.7,23.3,1,.12,13.5,
12,2-5,10,,,,,,,23.8,2.7,19.5,,,,,,,1,.28,6.1,
13,3-1,2.5,,,,,,,21.9,2.72,20,32.2,18.3,,1,52.5,16.6,1,.12,13.5,
14,3-2,4.3,,,,,,,19,2.73,19.9,31.8,15.6,,1,42.1,24,1,.2,8.2,
15,3-3,9.1,,,,,,,22.9,2.73,20.7,41.3,22.8,,1,83.9,22.2,,,,
16,4-1,2.6,,,,,,,25,2.73,19.1,33.5,20.4,,1,53.5,16.5,1,.14,13.5,
17,4-2,3.6,,,,,,,19.9,2.71,19.5,32.2,18.1,,1,56.9,24.7,1,.14,11.8,
18,4-3,4.6,,,,,,,19.8,2.72,19.6,28.8,16.3,,1,34.7,24.2,1,.13,12.5,
19,5-1,1.7,,,,,,,18.4,2.7,20.7,28.2,17.7,,1,62.1,24.8,1,.08,20.4,
20,5-2,3.6,,,,,,,20.8,2.72,19.9,30.9,16.7,,1,35.2,26.5,1,.14,11.5,
21,6-1,1.5,,,,,,,19.7,2.71,19.4,28.4,16.3,,1,22.5,27.4,1,.18,9.1,
22,6-2,3.6,,,,,,,21.1,2.72,19.6,30.9,17.4,,1,49.2,16,1,.16,10.5,
23,6-3R,5.7,.9,12,27.9,19.6,39.6,,,,,,,,,,,,,,
24,7-1,1.5,,,,,,,23.2,2.72,19.4,32.9,18.7,,,22.8,21.8,1,.18,9.9,
25,7-2,3.3,,,,,,,25,2.73,19.3,37.7,19.7,,1,31.3,15.4,1,.2,9.2,
26,7-3,5.5,4.7,26.1,16.7,12.1,40.4,,,,,,,,,,,,,,
27,8-1,2.1,,,,,,,20.6,2.71,19.5,29.8,17.3,,1,44.9,23.8,1,.1,16.4,
