1-1,39,0.365,.259,21,30,0.567,0.342,235,235,0.35,0.216,0.437,1234.56,4321.98,.26,.38,23.5,22.8,2.71,235.2,34
6-2,37,0.305,.599,15,,,,,,,,,,,,,,,,,
7-4,,,,,25,,,,,,,,,,,,,,,,
8-2,54,0.42,.231,15,,,,,,,,,,,,,,,,,
9-2,51,0.415,.261,9,,,,,,,,,,,,,,,,,
10-2,35,0.345,.313,2,,,,,,,,,,,,,,,,,
11-2,44,0.525,.207,,,,,,,,,,,,,,,,,,
11-3,,,,,18,,,,,,,,,,,,,,,,
12-3,,,,,12,,,,,,,,,,,,,,,,
14-3,58,0.75,.126,6,,,,,,,,,,,,,,,,,
14-6,,,,,22,,,,,,,,,,,,,,,,
16-1,,,,,35,,,,,,,,,,,,,,,,
16-2,33,0.805,.194,5,,,,,,,,,,,,,,,,,
16-3,,,,,24,,,,,,,,,,,,,,,,
17-4,,,,,18,,,,,,,,,,,,,,,,
18-3,51,0.495,.248,9,,,,,,,,,,,,,,,,,
18-5,,,,,23,,,,,,,,,,,,,,,,
20-3,32,0.37,.211,3,,,,,,,,,,,,,,,,,
20-5,,,,,24,,,,,,,,,,,,,,,,
20-6,,,,,10,,,,,,,,,,,,,,,,
END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
