1,1-1,,,,,,,,,,,,,,,,,,,,
2,1-2,,,,,,,,,,,,,,,,,,,,
3,1-3,,,,,,,,,,,,,,,,,,,,
4,1-4,,,,,,,,,,,,,,,,,,,,
5,1-5,,,,,,,,,,,,,,,,,,,,
6,1-6,,,,,,,,,,,,,,,,,,,,
7,2-1,,,,,,,,,,,,,,,,,,,,
8,2-2,,,,,,,,,,,,,,,,,,,,
9,2-3R,,,,,,,,,,,,,,,,,,,,
11,2-4,,,,,,,,,,,,,,,,,,,,
12,2-5,,,,,,,,,,,,,,,,,,,,
13,3-1,,,,,,,,,,,,,,,,,,,,
14,3-2,,,,,,,,,,,,,,,,,,,,
15,3-3,,,,,,,,,,,,,,,,,,,,
16,4-1,,,,,,,,,,,,,,,,,,,,
17,4-2,,,,,,,,,,,,,,,,,,,,
18,4-3,,,,,,,,,,,,,,,,,,,,
19,5-1,,,,,,,,,,,,,,,,,,,,
20,5-2,,,,,,,,,,,,,,,,,,,,
21,6-1,,,,,,,,,,,,,,,,,,,,
22,6-2,,,,,,,,,,,,,,,,,,,,
23,6-3R,,,,,,,,,,,,,,,,,,,,
24,7-1,,,,,,,,,,,,,,,,,,,,
25,7-2,,,,,,,,,,,,,,,,,,,,
26,7-3,,,,,,,,,,,,,,,,,,,,
27,8-1,,,,,,,,,,,,,,,,,,,,
28,8-2,,,,,,,,,,,,,,,,,,,,
29,8-3,,,,,,,,,,,,,,,,,,,,
30,8-4R,,,,,,,,,,,,,,,,,,,,
31,9-1,,,,,,,,,,,,,,,,,,,,
32,9-2,,,,,,,,,,,,,,,,,,,,
33,9-3,,,,,,,,,,,,,,,,,,,,
34,10-1,,,,,,,,,,,,,,,,,,,,
35,10-2,,,,,,,,,,,,,,,,,,,,
36,10-3,,,,,,,,,,,,,,,,,,,,
37,11-1,,,,,,,,,,,,,,,,,,,,
38,11-2,,,,,,,,,,,,,,,,,,,,
39,11-3R,,,,,,,,,,,,,,,,,,,,
40,12-1,,,,,,,,,,,,,,,,,,,,
41,12-2,,,,,,,,,,,,,,,,,,,,
42,12-3,,,,,,,,,,,,,,,,,,,,
43,13-1,,,,,,,,,,,,,,,,,,,,
44,13-2,,,,,,,,,,,,,,,,,,,,
45,13-3,,,,,,,,,,,,,,,,,,,,
46,13-4R,,,,,,,,,,,,,,,,,,,,
47,14-1,,,,,,,,,,,,,,,,,,,,
48,14-2,,,,,,,,,,,,,,,,,,,,
49,14-3,,,,,,,,,,,,,,,,,,,,
50,14-4,,,,,,,,,,,,,,,,,,,,
51,15-1,,,,,,,,,,,,,,,,,,,,
52,15-2,,,,,,,,,,,,,,,,,,,,
53,15-3,,,,,,,,,,,,,,,,,,,,
54,15-4R,,,,,,,,,,,,,,,,,,,,
55,16-1,,,,,,,,,,,,,,,,,,,,
56,16-2,,,,,,,,,,,,,,,,,,,,
57,16-3,,,,,,,,,,,,,,,,,,,,
58,17-1,,,,,,,,,,,,,,,,,,,,
59,17-2,,,,,,,,,,,,,,,,,,,,
60,17-3,,,,,,,,,,,,,,,,,,,,
61,18-1,,,,,,,,,,,,,,,,,,,,
62,18-2,,,,,,,,,,,,,,,,,,,,
63,18-3,,,,,,,,,,,,,,,,,,,,
64,18-4R,,,,,,,,,,,,,,,,,,,,
65,18-5,,,,,,,,,,,,,,,,,,,,
66,18-6R,,,,,,,,,,,,,,,,,,,,
67,19-1,,,,,,,,,,,,,,,,,,,,
68,19-2,,,,,,,,,,,,,,,,,,,,
69,19-3,,,,,,,,,,,,,,,,,,,,
70,19-4R,,,,,,,,,,,,,,,,,,,,
71,19-5R,,,,,,,,,,,,,,,,,,,,
72,20-1,,,,,,,,,,,,,,,,,,,,
73,20-2,,,,,,,,,,,,,,,,,,,,
74,20-4,,,,,,,,,,,,,,,,,,,,
75,20-5,,,,,,,,,,,,,,,,,,,,
76,20-6R,,,,,,,,,,,,,,,,,,,,
77,20-8,,,,,,,,,,,,,,,,,,,,
END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
