1,1-1,.6,黏土,,,
2,1-2,3.6,粉质黏土,,,
3,1-3,4.6,粉质黏土,,,
4,1-4,5.6,粉质黏土,,,
5,1-5,8,粉质黏土,,,
6,1-6,9.3,粉质黏土,,,
7,2-1,3.1,粉质黏土,,,
8,2-2,4.3,粉质黏土,,,
9,2-3R,5.9,砾砂,,,
11,2-4,8.9,粉质黏土,,,
12,2-5,10,,,,
13,3-1,2.5,粉质黏土,,,
14,3-2,4.3,粉质黏土,,,
15,3-3,9.1,黏土,,,
16,4-1,2.6,粉质黏土,,,
17,4-2,3.6,粉质黏土,,,
18,4-3,4.6,粉质黏土,,,
19,5-1,1.7,粉质黏土,,,
20,5-2,3.6,粉质黏土,,,
21,6-1,1.5,粉质黏土,,,
22,6-2,3.6,粉质黏土,,,
23,6-3R,5.7,粉砂,,,
24,7-1,1.5,粉质黏土,,,
25,7-2,3.3,黏土,,,
26,7-3,5.5,粉砂,,,
27,8-1,2.1,粉质黏土,,,
28,8-2,4.1,粉质黏土,,,
29,8-3,5.3,砾砂,,,
30,8-4R,6.6,砾砂,,,
31,9-1,1.6,粉质黏土,,,
32,9-2,3.7,粉质黏土,,,
33,9-3,5.7,粉质黏土,,,
34,10-1,1.6,粉质黏土,,,
35,10-2,3.7,粉质黏土,,,
36,10-3,5.8,中砂,,,
37,11-1,2.0,粉质黏土,,,
38,11-2,4.5,粉质黏土,,,
39,11-3R,6.4,砾砂,,,
40,12-1,1.9,粉质黏土,,,
41,12-2,3.8,粉质黏土,,,
42,12-3,5.2,粉质黏土,,,
43,13-1,1.7,粉质黏土,,,
44,13-2,3.3,黏土,,,
45,13-3,5.3,粉质黏土,,,
46,13-4R,6.3,砾砂,,,
47,14-1,1.6,粉质黏土,,,
48,14-2,3.4,黏土,,,
49,14-3,4.3,粉质黏土,,,
50,14-4,5.6,粉质黏土,,,
51,15-1,1.2,粉质黏土,,,
52,15-2,3.1,黏土,,,
53,15-3,5.0,粉质黏土,,,
54,15-4R,11.2,粗砂,,,
55,16-1,2.2,粉质黏土,,,
56,16-2,4.2,粉质黏土,,,
57,16-3,5.6,粗砂,,,
58,17-1,2.2,粉质黏土,,,
59,17-2,4.3,粉质黏土,,,
60,17-3,5.6,粉质黏土,,,
61,18-1,1.4,粉质黏土,,,
62,18-2,3.6,粉质黏土,,,
63,18-3,5.4,粉质黏土,,,
64,18-4R,7.6,砾砂,,,
65,18-5,8.4,粗砂,,,
66,18-6R,9.3,粗砂,,,
67,19-1,1.5,粉质黏土,,,
68,19-2,3.2,黏土,,,
69,19-3,4.7,粉质黏土,,,
70,19-4R,6.3,砾砂,,,
71,19-5R,10.8,粗砂,,,
72,20-1,1.7,粉质黏土,,,
73,20-2,3.6,黏土,,,
74,20-4,4.6,粉质黏土,,,
75,20-5,5.7,粉质黏土,,,
76,20-6R,7.6,粗砂,,,
77,20-8,13,粉质黏土,,,
