22.9,2.74,2.05,38.1,19.4
1.67,0.643,97.6,18.7,0.19
20.8,2.72,1.97,33,19
1.63,0.668,84.7,14.0,0.13
21.1,2.71,2.05,30.9,17.6
1.69,0.601,95.2,13.3,0.26
22.6,2.7,2.01,29.5,18.3
1.64,0.647,94.3,11.2,0.38
19.9,2.73,2.10,37.4,21.4
1.75,0.559,97.2,16.0,-0.09
21.3,2.73,2.06,34.8,18.2
1.70,0.608,95.7,16.6,0.19
23.7,2.73,2.03,35.9,18.9
1.64,0.664,97.5,17.0,0.28
21.7,2.72,2.01,31.8,17.3
1.65,0.647,91.2,14.5,0.30
,,,,
,,,,
19,2.72,2.10,31.4,17.8
1.76,0.541,95.5,13.6,0.09
23.8,2.7,1.99,,
1.61,0.680,94.5,,
21.9,2.72,2.04,32.2,18.3
1.67,0.625,95.3,13.9,0.26
19,2.73,2.03,31.8,15.6
1.71,0.600,86.4,16.2,0.21
22.9,2.73,2.11,41.3,22.8
1.72,0.590,105.9,18.5,0.01
25,2.73,1.95,33.5,20.4
1.56,0.750,91.0,13.1,0.35
19.9,2.71,1.99,32.2,18.1
1.66,0.633,85.2,14.1,0.13
19.8,2.72,2.00,28.8,16.3
1.67,0.629,85.6,12.5,0.28
18.4,2.7,2.11,28.2,17.7
1.78,0.515,96.5,10.5,0.07
20.8,2.72,2.03,30.9,16.7
1.68,0.619,91.5,14.2,0.29
19.7,2.71,1.98,28.4,16.3
1.65,0.638,83.6,12.1,0.28
21.1,2.72,2.00,30.9,17.4
1.65,0.647,88.7,13.5,0.27
,,,,
,,,,
23.2,2.72,1.98,32.9,18.7
1.61,0.692,91.1,14.2,0.32
25,2.73,1.97,37.7,19.7
1.58,0.732,93.2,18.0,0.29
,,,,
,,,,
20.6,2.71,1.99,29.8,17.3
1.65,0.642,86.9,12.5,0.26
23.2,2.72,2.01,31.6,17.6
1.63,0.667,94.6,14.0,0.40
,,,,
,,,,
,,,,
,,,,
22.1,2.72,2.00,32.7,17.7
1.64,0.661,91.0,15.0,0.29
25.5,2.72,2.02,33,19
1.61,0.690,100.5,14.0,0.46
23,2.72,2.04,32,18.2
1.66,0.640,97.8,13.8,0.35
21,2.71,2.09,30,17
1.73,0.569,100.0,13.0,0.31
22.5,2.72,2.05,32.6,18.8
1.67,0.625,97.9,13.8,0.27
,,,,
,,,,
22.7,2.7,2.04,29.9,19.5
1.66,0.624,98.2,10.4,0.31
22.2,2.71,2.01,30.7,19
1.64,0.648,92.9,11.7,0.27
,,,,
,,,,
18.5,2.71,1.97,28.7,16.4
1.66,0.630,79.6,12.3,0.17
20.5,2.72,2.00,32.7,17.3
1.66,0.639,87.3,15.4,0.21
21.4,2.7,2.08,26.4,16
1.71,0.576,100.3,10.4,0.52
22.1,2.71,2.00,30.7,17.4
1.64,0.654,91.5,13.3,0.35
26.5,2.73,1.97,37.1,19.1
1.56,0.753,96.1,18.0,0.41
21.3,2.71,2.08,28.2,15.6
1.71,0.580,99.5,12.6,0.45
,,,,
,,,,
21.3,2.7,2.01,30.1,18.7
1.66,0.629,91.4,11.4,0.23
26.5,2.74,1.98,40.1,20.2
1.57,0.751,96.7,19.9,0.32
22.3,2.71,2.06,30.9,18.8
1.68,0.609,99.2,12.1,0.29
23.7,2.71,2.01,28.2,15.9
1.62,0.668,96.2,12.3,0.63
17.8,2.72,1.99,34.7,20.1
1.69,0.610,79.4,14.6,-0.16
24.9,2.74,2.01,38,18.2
1.61,0.703,97.1,19.8,0.34
22,2.71,2.05,28.6,16.2
1.68,0.613,97.3,12.4,0.47
,,,,
,,,,
23.5,2.71,2.04,27.8,15.7
1.65,0.641,99.4,12.1,0.64
23.1,2.72,1.99,31.1,16.8
1.62,0.683,92.1,14.3,0.44
,,,,
,,,,
22.7,2.7,2.00,29.1,19
1.63,0.656,93.4,10.1,0.37
23.4,2.72,2.02,32.6,18.1
1.64,0.662,96.2,14.5,0.37
21.8,2.71,2.07,29.4,16.3
1.70,0.595,99.4,13.1,0.42
21.1,2.71,2.00,30.7,17.4
1.65,0.641,89.2,13.3,0.28
24.9,2.73,1.99,37.3,20.4
1.59,0.713,95.3,16.9,0.27
23.3,2.71,2.04,26.3,14.8
1.65,0.638,99.0,11.5,0.74
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
21.8,2.71,1.96,32.4,19
1.61,0.684,86.4,13.4,0.21
25.9,2.73,1.98,37.6,20
1.57,0.736,96.1,17.6,0.34
21.2,2.71,2.06,29.9,16.9
1.70,0.594,96.7,13.0,0.33
,,,,
,,,,
,,,,
,,,,
21.5,2.71,2.05,33.1,20.1
1.69,0.606,96.1,13.0,0.11
25.9,2.74,1.98,40.8,21
1.57,0.742,95.6,19.8,0.25
24.1,2.72,1.98,32.9,19.3
1.60,0.705,93.0,13.6,0.35
22.4,2.7,2.03,27.7,16.8
1.66,0.628,96.3,10.9,0.51
,,,,
,,,,
18.4,2.72,2.08,37,23.5
1.76,0.548,91.3,13.5,-0.38
