  含水率  ,  ,8,60
   密度   , 环刀法 ,8,60
   密度   , 蜡封法 ,18,
   比重   ,  ,19,60
   液限   , 碟式法 ,23,59
   液限   ,圆锥仪法,15,
   塑限   ,  ,30,59
 快速压缩 ,四级压力,40,44
 快速压缩 ,五级压力,52,
 快速压缩 ,六级压力,64,
 慢速压缩 ,四级压力,116,
 慢速压缩 ,五级压力,131,
 慢速压缩 ,六级压力,146,
 直剪试验 ,  快剪  ,49,56
 直剪试验 ,  固快  ,71,
 直剪试验 ,  固慢  ,99,
 直剪试验 , 制备费 ,30,
黄土湿陷系数,  ,53,1
黄土自重湿陷系数,  ,23,1
黄土起始压力, 单线法  ,137,
黄土起始压力, 双线法  ,56,
 颗粒分析 , 筛分(砂、砾) ,26,17
 颗粒分析 , 筛分(含粘土) ,40,
 颗粒分析 , 筛分(碎石土) ,70,
 颗粒分析 ,密度计法<0.002,61,
 颗粒分析 ,比重计法>0.002,49,
 颗粒分析 ,   移液管法   ,47,
 相对密度 ,     ,52,1
 击实试验 ,    轻型    ,319,
 击实试验 ,    重型    ,638,
 渗透试验 ,    粘性土    ,55,1
 渗透试验 ,     砂土     ,29,
  无侧限  ,    应变法    ,29,
  无侧限  ,   测灵敏度   ,56,
  无侧限  ,  重塑土制备  ,17,
静三轴试验, 不固结不排水 ,413,
静三轴试验,  固结不排水  ,775,
静三轴试验,固结不排水测压,930,
静三轴试验,   固结排水   ,1240,
静止侧压力系数,              ,258,
有机质,              ,30,
,              ,,
  岩样加工  ,    (件)    ,19,
   含水率   ,            ,14,
  颗粒密度  ,,47,
  块体密度  ,   水称法   ,14,
  块体密度  ,   量积法   ,14,
  块体密度  ,   蜡封法   ,18,
   吸水率   ,        ,47,
 饱和吸水率 ,  ,117,
  抗压强度  ,   天然   ,47,
  抗压强度  ,   饱和   ,70,
  压缩变形  ,    干    ,185,
  压缩变形  ,   饱和   ,233,
三轴压缩强度, ,760,
  抗拉强度  ,   ,93,
  直剪岩块  ,      ,269,
 直剪结构面 ,     ,289,
 点荷载强度 ,   ,26,
    冻融   ,   ,2455,
  薄片鉴定 ,            ,52,
            ,           ,,
            ,           ,,
