1-1,39,0.365,.259,21,30,0.567,0.342,235,235,0.35,0.216,0.437,1234.56,4321.98,.26,.38,23.5,22.8,2.71,235.2,
1-2,,,,,,,,,,,,,,,,,,,,,
1-3,,,,,,,,,,,,,,,,,,,,,
1-4,,,,,,,,,,,,,,,,,,,,,
1-5,,,,,,,,,,,,,,,,,,,,,
1-6,,,,,,,,,,,,,,,,,,,,,
2-1,,,,,,,,,,,,,,,0.27,1.08,,,,,
2-2,,,,,,,,,,,,,,,0.14,0.29,,,,,
2-R3,,,,,,,,,,,,,,,,,,,,,
2-4,,,,,,,,,,,,,,,,,,,,,
2-5,,,,,,,,,,,,,,,,,,,,,
3-1,,,,,,,,,,,,,,,,,,,,,
3-2,,,,,,,,,,,,,,,,,,,,,
3-3,,,,,,,,,,,,,,,,,,,,,
4-1,,,,,,,,,,,,,,,,,,,,,
4-2,,,,,,,,,,,,,,,,,,,,,
4-3,,,,,,,,,,,,,,,,,,,,,
5-1,,,,,,,,,,,,,,,,,,,,,
5-2,,,,,,,,,,,,,,,,,,,,,
6-1,,,,,,,,,,,,,,,,,,,,,
6-2,37,0.305,.599,15,,,,,,,,,,,,,,,,,
6-R3,,,,,,,,,,,,,,,,,,,,,
7-1,,,,,,,,,,,,,,,,,,,,,
7-2,,,,,,,,,,,,,,,,,,,,,
7-3,,,,,,,,,,,,,,,,,,,,,
8-1,,,,,,,,,,,,,,,,,,,,,
8-2,54,0.42,.231,15,,,,,,,,,,,,,,,,,
8-3,,,,,,,,,,,,,,,,,,,,,
8-R4,,,,,,,,,,,,,,,,,,,,,
9-1,,,,,,,,,,,,,,,,,,,,,
9-2,51,0.415,.261,9,,,,,,,,,,,,,,,,,
9-3,,,,,,,,,,,,,,,,,,,,,
10-1,,,,,,,,,,,,,,,,,,,,,
10-2,35,0.345,.313,2,,,,,,,,,,,,,,,,,
10-3,,,,,,,,,,,,,,,,,,,,,
11-1,,,,,,,,,,,,,,,,,,,,,
11-2,44,0.525,.207,,,,,,,,,,,,,,,,,,
11-R3,,,,,,,,,,,,,,,,,,,,,
12-1,,,,,,,,,,,,,,,,,,,,,
12-2,,,,,,,,,,,,,,,,,,,,,
12-3,,,,,12,,,,,,,,,,,,,,,,
13-1,,,,,,,,,,,,,,,,,,,,,
13-2,,,,,,,,,,,,,,,,,,,,,
13-3,,,,,,,,,,,,,,,,,,,,,
13-R4,,,,,,,,,,,,,,,,,,,,,
14-1,,,,,,,,,,,,,,,,,,,,,
14-2,,,,,,,,,,,,,,,,,,,,,
14-3,58,0.75,.126,6,,,,,,,,,,,,,,,,,
14-4,,,,,,,,,,,,,,,,,,,,,
15-1,,,,,,,,,,,,,,,,,,,,,
15-2,,,,,,,,,,,,,,,,,,,,,
15-3,,,,,,,,,,,,,,,,,,,,,
15-R4,,,,,,,,,,,,,,,,,,,,,
16-1,,,,,35,,,,,,,,,,,,,,,,
16-2,33,0.805,.194,5,,,,,,,,,,,,,,,,,
16-3,,,,,24,,,,,,,,,,,,,,,,
17-1,,,,,,,,,,,,,,,,,,,,,
17-2,,,,,,,,,,,,,,,,,,,,,
17-3,,,,,,,,,,,,,,,,,,,,,
18-1,,,,,,,,,,,,,,,,,,,,,
18-2,,,,,,,,,,,,,,,,,,,,,
18-3,51,0.495,.248,9,,,,,,,,,,,,,,,,,
18-R4,,,,,,,,,,,,,,,,,,,,,
18-5,,,,,23,,,,,,,,,,,,,,,,
18-R6,,,,,,,,,,,,,,,,,,,,,
19-1,,,,,,,,,,,,,,,,,,,,,
19-2,,,,,,,,,,,,,,,,,,,,,
19-3,,,,,,,,,,,,,,,,,,,,,
19-R4,,,,,,,,,,,,,,,,,,,,,
19-R5,,,,,,,,,,,,,,,,,,,,,
20-1,,,,,,,,,,,,,,,,,,,,,
20-2,,,,,,,,,,,,,,,,,,,,,
20-4,,,,,,,,,,,,,,,,,,,,,
20-5,,,,,24,,,,,,,,,,,,,,,,
20-R6,,,,,,,,,,,,,,,,,,,,,
20-8,,,,,,,,,,,,,,,,,,,,,
END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END,END
